player,team,shirt_number,nation,position,age,minutes,goals,assists,penalty_shoot_on_goal,penalty_shoot,total_shoot,Shoot on Target,yellow_cards,red_cards,touches,dribbles,tackles,blocks,expected_goals_xg,non_penalty_xg_npxg,expected_assists_xag,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completed_%,progressive_passes,carries,progressive_carries,dribble_attempts,successful_dribbles,date
Leonardo Spinazzola,Napoli,37,ITA,WB,31,50,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,19,23,82.6,1,14,1,2,0,2024-08-18
Mathías Olivera,Napoli,17,URU,WB and CB,26,40,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,18,23,78.3,0,13,1,0,0,2024-08-18
Pasquale Mazzocchi,Napoli,30,ITA,WB,29,90,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.0,3,0,33,42,78.6,4,29,3,4,2,2024-08-18
Juan Jesus,Napoli,5,BRA,CB,33,78,0,0,0,0,1,0,0,0,76,0,0,0,0.1,0.1,0.0,0,0,62,73,84.9,7,46,2,0,0,2024-08-18
Cyril Ngonge,Napoli,26,BEL,WB,24,12,0,0,0,0,2,2,0,0,14,1,0,0,0.1,0.1,0.0,0,0,6,7,85.7,2,12,1,4,2,2024-08-18
Amir Rrahmani,Napoli,13,KVX,CB,30,90,0,0,0,0,1,0,0,0,94,0,0,0,0.1,0.1,0.0,1,0,78,88,88.6,8,63,1,0,0,2024-08-18
Giovanni Di Lorenzo,Napoli,22,ITA,CB,31,90,0,0,0,0,0,0,0,0,73,2,1,0,0.0,0.0,0.2,4,0,54,67,80.6,9,44,2,1,1,2024-08-18
Alex Meret,Napoli,1,ITA,GK,27,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,31,34,91.2,0,19,0,0,0,2024-08-18
Santiago Castro,Bologna,9,ARG,FW,19,83,0,0,0,0,5,1,0,0,25,1,0,1,0.5,0.5,0.4,4,0,11,16,68.8,0,14,1,3,1,2024-08-18
Thijs Dallinga,Bologna,24,NED,FW,24,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,77.75350788002035,0,1,0,0,0,2024-08-18
Dan Ndoye,Bologna,11,SUI,LW and RW,23,87,0,0,0,0,4,0,0,0,46,0,0,1,1.1,1.1,0.1,5,0,21,33,63.6,5,39,6,7,3,2024-08-18
Jens Odgaard,Bologna,21,DEN,RW,25,3,0,0,0,0,0,0,0,0,8,0,0,2,0.0,0.0,0.0,0,0,2,3,66.7,0,4,1,0,0,2024-08-18
Riccardo Orsolini,Bologna,7,ITA,RW,27,75,1,0,1,1,4,2,0,0,37,0,0,1,1.3,0.6,0.8,6,0,19,28,67.9,3,26,2,1,1,2024-08-18
Nicolò Cambiaghi,Bologna,28,ITA,LW and RW,23,15,0,0,0,0,1,0,0,0,20,1,0,1,0.1,0.1,0.0,1,0,12,17,70.6,2,15,1,0,0,2024-08-18
Giovanni Fabbian,Bologna,80,ITA,AM,21,90,0,0,0,0,2,0,0,0,34,2,1,0,0.1,0.1,0.1,1,0,22,25,88.0,2,25,2,1,0,2024-08-18
Nikola Moro,Bologna,6,CRO,DM,26,75,0,0,0,0,2,0,0,0,54,1,0,2,0.1,0.1,0.0,4,1,32,46,69.6,10,35,1,0,0,2024-08-18
Michel Aebischer,Bologna,20,SUI,DM,27,15,0,0,0,0,2,2,0,0,19,0,1,0,0.1,0.1,0.0,0,0,12,16,75.0,2,12,0,0,0,2024-08-18
Remo Freuler,Bologna,8,SUI,DM,32,90,0,0,0,0,0,0,0,0,97,4,0,0,0.0,0.0,0.2,3,0,79,86,91.9,7,61,2,0,0,2024-08-18
Charalambos Lykogiannis,Bologna,22,GRE,LB,30,83,0,0,0,0,0,0,0,0,80,1,1,0,0.0,0.0,0.0,2,0,58,73,79.5,9,55,1,0,0,2024-08-18
Juan Miranda,Bologna,33,ESP,LB,24,7,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,15,16,93.8,1,13,2,0,0,2024-08-18
Sam Beukema,Bologna,31,NED,CB,25,90,0,0,0,0,1,0,0,0,89,0,0,0,0.0,0.0,0.3,2,0,82,83,98.8,3,69,1,0,0,2024-08-18
Martin Erlic,Bologna,5,CRO,CB,26,90,0,0,0,0,0,0,0,0,71,1,0,0,0.0,0.0,0.0,1,1,61,66,92.4,2,57,0,1,0,2024-08-18
Stefan Posch,Bologna,3,AUT,RB,27,90,0,0,0,0,0,0,0,0,81,5,0,0,0.0,0.0,0.1,6,0,65,72,90.3,5,51,3,1,1,2024-08-18
Łukasz Skorupski,Bologna,1,POL,GK,33,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,37,86.5,0,24,0,0,0,2024-08-18
Lorenzo Lucca,Udinese,17,ITA,FW,23,90,0,0,0,0,0,0,1,0,23,3,0,0,0.0,0.0,0.0,0,0,7,14,50.0,1,11,0,2,1,2024-08-18
Brenner,Udinese,22,BRA,AM and FW,24,81,0,1,0,0,0,0,0,0,18,1,1,1,0.0,0.0,0.1,0,0,6,11,54.5,0,11,1,1,0,2024-08-18
Keinan Davis,Udinese,9,ENG,FW,26,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,1,0,2024-08-18
Florian Thauvin,Udinese,10,FRA,AM,31,75,0,0,0,1,0,0,0,0,34,1,0,1,0.8,0.0,0.0,1,1,10,20,50.0,3,17,1,6,2,2024-08-18
Jurgen Ekkelenkamp,Udinese,32,NED,AM,24,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,0,1,0,0,0,2024-08-18
Martín Payero,Udinese,5,ARG,CM,25,90,0,0,0,0,1,0,0,0,44,3,0,0,0.1,0.1,0.0,3,0,16,27,59.3,6,17,1,3,1,2024-08-18
Sandi Lovrić,Udinese,8,SVN,CM,26,57,0,0,0,0,0,0,0,0,25,1,1,2,0.0,0.0,0.0,0,0,11,16,68.8,3,8,0,1,0,2024-08-18
Jesper Karlström,Udinese,25,SWE,CM,29,33,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,5,0,0,0,2024-08-18
Hassane Kamara,Udinese,11,CIV,WB,30,81,0,0,0,0,0,0,0,0,25,2,2,1,0.0,0.0,0.0,0,0,13,16,81.3,1,8,0,2,1,2024-08-18
Jordan Zemura,Udinese,33,ZIM,WB,24,9,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,1,7,14.3,0,5,1,0,0,2024-08-18
Kingsley Ehizibue,Udinese,19,NED,WB,29,90,0,0,0,0,0,0,1,0,32,1,0,4,0.0,0.0,0.0,0,0,17,23,73.9,1,10,1,1,1,2024-08-18
Lautaro Gianetti,Udinese,30,ARG,CB,30,90,1,0,0,0,1,1,1,0,29,1,4,3,0.1,0.0,0.0,0,0,18,22,81.8,3,9,0,0,0,2024-08-18
Jaka Bijol,Udinese,29,SVN,CB,25,90,0,0,0,0,0,0,0,0,30,1,1,3,0.0,0.0,0.0,0,0,13,16,81.3,0,8,0,0,0,2024-08-18
Nehuén Pérez,Udinese,18,ARG,CB,24,90,0,0,0,0,0,0,0,0,37,1,1,2,0.0,0.0,0.0,0,0,24,29,82.8,2,14,2,1,1,2024-08-18
Maduka Okoye,Udinese,40,NGA,GK,24,90,0,0,0,0,0,0,1,0,28,0,0,0,0.0,0.0,0.0,0,0,8,22,36.4,0,10,0,0,0,2024-08-18
Roberto Piccoli,Cagliari,91,ITA,FW,23,85,0,0,0,0,6,0,0,0,33,0,0,0,0.4,0.4,0.0,1,0,12,18,66.7,3,20,4,2,1,2024-08-18
Gianluca Lapadula,Cagliari,9,PER,FW,34,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,1,5,20.0,0,5,2,0,0,2024-08-18
Zito Luvumbo,Cagliari,77,ANG,FW,22,70,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.1,2,0,5,8,62.5,0,14,2,3,1,2024-08-18
Leonardo Pavoletti,Cagliari,30,ITA,FW,35,20,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,2,0,4,7,57.1,2,5,1,0,0,2024-08-18
Răzvan Marin,Cagliari,18,ROU,CM,28,90,0,0,0,0,3,2,0,0,37,2,0,0,0.2,0.2,0.3,4,0,20,27,74.1,3,16,0,0,0,2024-08-18
Matteo Prati,Cagliari,16,ITA,CM,20,71,0,0,0,0,0,0,0,0,45,2,2,0,0.0,0.0,0.0,1,0,27,36,75.0,4,25,1,0,0,2024-08-18
Michel Ndary Adopo,Cagliari,8,FRA,CM,24,19,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,1,0,6,8,75.0,2,4,1,1,1,2024-08-18
Alessandro Deiola,Cagliari,14,ITA,CM,29,90,0,0,0,0,1,0,1,0,25,1,0,1,0.0,0.0,0.0,2,0,8,15,53.3,0,8,0,0,0,2024-08-18
Tommaso Augello,Cagliari,3,ITA,WB,29,90,0,0,0,0,0,0,0,0,61,2,3,3,0.0,0.0,0.1,1,0,27,44,61.4,3,21,1,6,4,2024-08-18
Paulo Azzi,Cagliari,37,BRA,WB,30,90,0,0,0,0,0,0,1,0,43,1,2,1,0.0,0.0,0.0,2,0,25,33,75.8,3,27,3,1,1,2024-08-18
Sebastiano Luperto,Cagliari,6,ITA,CB,27,90,0,0,0,0,0,0,0,0,57,0,1,1,0.0,0.0,0.1,1,0,41,50,82.0,2,36,0,0,0,2024-08-18
Mateusz Wieteska,Cagliari,23,POL,CB,27,90,0,0,0,0,1,0,0,0,57,1,6,2,0.2,0.2,0.0,1,0,38,44,86.4,1,35,0,0,0,2024-08-18
Gabriele Zappa,Cagliari,28,ITA,CB,24,90,0,0,0,0,0,0,0,0,69,4,1,0,0.0,0.0,0.0,1,0,49,58,84.5,4,40,0,0,0,2024-08-18
Simone Scuffet,Cagliari,22,ITA,GK,28,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,27,66.7,0,16,0,0,0,2024-08-18
Artem Dovbyk,Roma,11,UKR,FW,27,89,0,0,0,0,3,1,0,0,27,0,0,0,0.4,0.4,0.0,1,0,13,17,76.5,0,20,1,0,0,2024-08-18
Tammy Abraham,Roma,9,ENG,FW,26,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,3,0,0,0,2024-08-18
Nicola Zalewski,Roma,59,POL,LW,22,68,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.2,2,0,19,26,73.1,0,21,3,4,0,2024-08-18
Paulo Dybala,Roma,21,ARG,RW,30,22,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.3,4,0,9,13,69.2,1,10,0,1,1,2024-08-18
Matìas Soulé,Roma,18,ARG,RW and LW,21,89,0,0,0,0,2,1,0,0,66,0,0,0,0.1,0.1,0.1,6,0,39,50,78.0,4,43,5,6,2,2024-08-18
Stephan El Shaarawy,Roma,92,ITA,LW,31,1,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,1,2024-08-18
Lorenzo Pellegrini,Roma,7,ITA,AM,28,90,0,0,0,0,2,1,0,0,44,0,0,1,0.2,0.2,0.1,5,0,24,30,80.0,2,28,0,2,1,2024-08-18
Bryan Cristante,Roma,4,ITA,DM,29,90,0,0,0,0,1,0,0,0,73,2,4,1,0.0,0.0,0.0,3,0,51,59,86.4,9,40,2,0,0,2024-08-18
Enzo Le Fée,Roma,28,FRA,DM,24,60,0,0,0,0,0,0,0,0,38,0,1,1,0.0,0.0,0.1,1,0,20,32,62.5,3,19,0,0,0,2024-08-18
Tommaso Baldanzi,Roma,35,ITA,DM,21,30,0,0,0,0,1,0,0,0,17,1,0,1,0.0,0.0,0.0,1,0,10,12,83.3,0,10,3,0,0,2024-08-18
Angeliño,Roma,3,ESP,LB,27,90,0,0,0,0,1,0,0,0,68,4,0,0,0.0,0.0,0.0,0,0,48,61,78.7,8,35,2,0,0,2024-08-18
Obite N'Dicka,Roma,5,CIV,CB,24,90,0,0,0,0,0,0,0,0,63,0,0,2,0.0,0.0,0.0,1,0,47,55,85.5,4,34,1,0,0,2024-08-18
Gianluca Mancini,Roma,23,ITA,CB,28,90,0,0,0,0,1,0,0,0,44,0,2,1,0.0,0.0,0.0,0,0,35,39,89.7,3,28,2,0,0,2024-08-18
Zeki Çelik,Roma,19,TUR,RB,27,90,0,0,0,0,1,0,0,0,66,2,1,0,0.0,0.0,0.0,0,0,45,58,77.6,7,38,3,0,0,2024-08-18
Mile Svilar,Roma,99,SRB,GK,24,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,32,40,80.0,0,23,0,0,0,2024-08-18
Valentín Castellanos,Lazio,11,ARG,FW,25,86,1,0,0,0,5,3,1,0,32,1,0,1,0.7,0.7,0.0,3,2,16,20,80.0,2,19,3,0,0,2024-08-18
Pedro,Lazio,9,ESP,FW,37,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,1,0,0,2024-08-18
Mattia Zaccagni,Lazio,10,ITA,LW,29,76,1,0,1,1,2,0,0,0,51,1,0,1,0.9,0.1,0.1,2,0,37,45,82.2,7,38,4,2,1,2024-08-18
Loum Tchaouna,Lazio,20,FRA,LW,20,14,0,0,0,0,1,0,0,0,13,0,0,0,0.7,0.7,0.3,2,0,9,10,90.0,2,8,3,0,0,2024-08-18
Tijjani Noslin,Lazio,14,NED,RW,25,76,0,0,0,0,0,0,0,0,38,1,0,3,0.0,0.0,0.2,2,1,26,32,81.3,3,25,3,2,1,2024-08-18
Gustav Isaksen,Lazio,18,DEN,RW,23,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,2024-08-18
Fisayo Dele-Bashiru,Lazio,7,NGA,LM,23,90,0,0,0,0,2,0,0,0,53,2,0,1,0.1,0.1,0.0,5,0,43,46,93.5,0,33,2,2,2,2024-08-18
Nicolò Rovella,Lazio,6,ITA,CM,22,64,0,0,0,0,0,0,0,0,80,1,2,0,0.0,0.0,0.0,2,0,68,74,91.9,10,53,1,3,3,2024-08-18
Matías Vecino,Lazio,5,URU,CM,32,26,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,14,16,87.5,0,13,0,0,0,2024-08-18
Mattéo Guendouzi,Lazio,8,FRA,RM,25,86,0,0,0,0,0,0,0,0,69,1,0,1,0.0,0.0,0.0,3,0,57,63,90.5,6,48,3,0,0,2024-08-18
Gaetano Castrovilli,Lazio,22,ITA,RM,27,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.7,1,0,1,1,100.0,1,1,1,0,0,2024-08-18
Adam Marušić,Lazio,77,MNE,LB,31,90,0,0,0,0,1,1,0,0,76,0,2,1,0.0,0.0,0.0,1,0,63,68,92.6,6,43,1,1,0,2024-08-18
Alessio Romagnoli,Lazio,13,ITA,CB,29,90,0,0,0,0,0,0,0,0,88,1,2,1,0.0,0.0,0.0,0,0,74,81,91.4,1,58,0,0,0,2024-08-18
Nicolò Casale,Lazio,15,ITA,CB,26,90,0,0,0,0,1,1,0,0,83,4,0,4,0.0,0.0,0.0,0,0,66,72,91.7,3,59,0,0,0,2024-08-18
Manuel Lazzari,Lazio,29,ITA,RB,30,90,0,0,0,0,0,0,0,0,80,1,0,0,0.0,0.0,0.0,1,0,55,69,79.7,2,58,4,3,1,2024-08-18
Ivan Provedel,Lazio,94,ITA,GK,30,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,38,43,88.4,0,35,0,0,0,2024-08-18
Christian Gytkjær,Venezia,9,DEN,FW,34,85,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.0,1,0,9,15,60.0,0,16,0,0,0,2024-08-18
Antonio Raimondo,Venezia,45,ITA,FW,20,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,0,0,2024-08-18
Mikael Ellertsson,Venezia,77,ISL,AM,22,69,0,1,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.2,5,2,11,13,84.6,1,16,2,1,0,2024-08-18
Domen Črnigoj,Venezia,22,SVN,AM,28,21,0,0,0,0,0,0,0,0,15,3,1,0,0.0,0.0,0.0,1,0,5,9,55.6,1,9,2,0,0,2024-08-18
Gaetano Oristanio,Venezia,11,ITA,AM,21,52,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,2,3,66.7,1,4,0,1,0,2024-08-18
Nicholas Pierini,Venezia,10,ITA,AM,26,38,0,0,0,0,1,0,0,0,18,0,0,2,0.0,0.0,0.1,1,0,9,13,69.2,0,9,1,1,0,2024-08-18
Magnus Kofod Andersen,Venezia,38,DEN,CM,25,85,1,0,0,0,1,1,0,0,37,1,2,0,0.0,0.0,0.1,1,0,28,30,93.3,3,22,1,0,0,2024-08-18
Nunzio Lella,Venezia,24,ITA,CM,24,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,2,0,0,0,2024-08-18
Alfred Duncan,Venezia,32,GHA,CM,31,90,0,0,0,0,1,0,0,0,35,2,1,1,0.0,0.0,0.0,1,0,21,27,77.8,0,21,1,1,1,2024-08-18
Francesco Zampano,Venezia,7,ITA,WB,30,90,0,0,0,0,1,0,0,0,35,3,1,1,0.0,0.0,0.0,0,0,19,27,70.4,0,23,3,2,2,2024-08-18
Richie Sagrado,Venezia,21,BEL,WB,20,52,0,0,0,0,1,0,1,0,8,1,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,4,0,0,0,2024-08-18
Ridgeciano Haps,Venezia,5,SUR,WB,31,38,0,0,0,0,3,1,1,0,22,1,0,0,0.3,0.3,0.0,3,0,17,19,89.5,1,17,1,1,1,2024-08-18
Marin Šverko,Venezia,33,CRO,CB,26,90,0,0,0,0,0,0,0,0,58,1,5,0,0.0,0.0,0.0,1,0,43,52,82.7,4,37,2,0,0,2024-08-18
Michael Svoboda,Venezia,30,AUT,CB,25,90,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,3,0,28,32,87.5,3,24,0,0,0,2024-08-18
Giorgio Altare,Venezia,15,ITA,CB,26,90,0,0,0,0,1,0,0,0,49,0,2,1,0.1,0.1,0.0,1,0,27,38,71.1,1,32,1,0,0,2024-08-18
Jesse Joronen,Venezia,1,FIN,GK,31,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,0,18,0,0,0,2024-08-18
Nikola Krstović,Lecce,9,MNE,FW,24,68,0,0,0,0,3,0,0,0,27,2,0,0,0.4,0.4,0.0,4,0,14,18,77.8,2,11,0,0,0,2024-08-19
Santiago Pierotti,Lecce,50,ARG,FW,23,22,0,0,0,0,2,1,0,0,10,0,0,0,0.1,0.1,0.0,3,0,5,5,100.0,0,6,1,2,1,2024-08-19
Patrick Dorgu,Lecce,13,DEN,LW,19,90,0,0,0,0,4,0,0,0,40,0,1,0,0.2,0.2,0.0,4,0,21,29,72.4,1,27,3,2,0,2024-08-19
Tete Morente,Lecce,7,ESP,RW,27,45,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,11,13,84.6,1,8,0,0,0,2024-08-19
Lameck Banda,Lecce,22,ZAM,RW,23,45,0,0,0,0,1,1,0,0,24,0,0,1,0.3,0.3,0.0,2,0,17,18,94.4,2,19,0,4,1,2024-08-19
Hamza Rafia,Lecce,8,TUN,AM,25,82,0,0,0,0,2,0,0,0,59,1,0,0,0.1,0.1,0.5,9,0,43,50,86.0,7,38,1,3,1,2024-08-19
Medon Berisha,Lecce,5,ALB,AM,20,8,0,0,0,0,2,1,0,0,14,1,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,10,1,1,0,2024-08-19
Balthazar Pierret,Lecce,75,FRA,DM,24,45,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,0,0,14,15,93.3,1,5,0,0,0,2024-08-19
Lassana Coulibaly,Lecce,29,MLI,DM,28,45,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.3,1,0,20,23,87.0,2,18,1,0,0,2024-08-19
Ylber Ramadani,Lecce,20,ALB,DM,28,75,0,0,0,0,2,1,0,0,58,3,1,0,0.1,0.1,0.0,2,0,41,48,85.4,4,25,0,0,0,2024-08-19
Filip Marchwiński,Lecce,36,POL,DM,22,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,2024-08-19
Antonino Gallo,Lecce,25,ITA,LB,24,90,0,0,0,0,1,0,0,0,70,2,1,0,0.0,0.0,0.4,6,0,44,61,72.1,3,35,2,4,1,2024-08-19
Federico Baschirotto,Lecce,6,ITA,CB,27,90,0,0,0,0,2,0,0,0,51,0,2,1,0.1,0.1,0.0,0,0,39,46,84.8,1,22,0,0,0,2024-08-19
Gaspar,Lecce,4,ANG,CB,26,90,0,0,0,0,1,0,0,0,66,6,3,2,0.1,0.1,0.0,0,0,42,53,79.2,0,30,1,0,0,2024-08-19
Valentin Gendrey,Lecce,17,FRA,RB,24,90,0,0,0,0,1,0,0,0,37,2,1,1,0.2,0.2,0.1,3,0,20,30,66.7,3,14,3,0,0,2024-08-19
Wladimiro Falcone,Lecce,30,ITA,GK,29,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,16,0,0,0,2024-08-19
Mateo Retegui,Atalanta,32,ITA,FW,25,82,2,0,1,1,2,2,0,0,20,0,0,0,1.1,0.3,0.0,2,2,8,13,61.5,0,13,1,1,0,2024-08-19
Federico Cassa,Atalanta,25,ITA,FW,18,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,1,0,2024-08-19
Charles De Ketelaere,Atalanta,17,BEL,FW,23,68,0,0,0,0,2,1,0,0,35,0,0,1,0.2,0.2,0.0,2,1,19,22,86.4,3,22,1,4,2,2024-08-19
Mitchel Bakker,Atalanta,20,NED,AM,24,22,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,6,0,0,0,2024-08-19
Marco Brescianini,Atalanta,44,ITA,AM,24,89,2,0,0,0,2,2,0,0,37,1,0,1,0.2,0.2,0.1,3,0,17,24,70.8,3,19,3,4,1,2024-08-19
Marco Palestra,Atalanta,27,ITA,AM,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,77.75350788002035,0,0,0,0,0,2024-08-19
Éderson,Atalanta,13,BRA,CM,25,90,0,0,0,0,0,0,1,0,55,0,1,0,0.0,0.0,0.0,2,1,44,51,86.3,8,33,0,2,1,2024-08-19
Mario Pašalić,Atalanta,8,CRO,CM,29,89,0,1,0,0,2,0,0,0,73,0,0,0,0.2,0.2,0.1,4,1,62,65,95.4,9,49,1,1,0,2024-08-19
Ibrahim Sulemana,Atalanta,6,GHA,CM,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,77.75350788002035,0,0,0,0,0,2024-08-19
Matteo Ruggeri,Atalanta,22,ITA,WB,22,90,0,1,0,0,0,0,0,0,84,1,4,1,0.0,0.0,0.2,3,1,59,74,79.7,3,45,6,2,1,2024-08-19
Davide Zappacosta,Atalanta,77,ITA,WB,32,67,0,0,0,0,2,0,0,0,35,1,0,0,0.1,0.1,0.1,1,0,26,30,86.7,2,17,3,1,0,2024-08-19
Ben Godfrey,Atalanta,5,ENG,WB,26,23,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,1,5,0,0,0,2024-08-19
Berat Djimsiti,Atalanta,19,ALB,CB,31,90,0,0,0,0,0,0,0,0,73,2,2,0,0.0,0.0,0.0,1,1,50,58,86.2,3,38,1,1,1,2024-08-19
Isak Hien,Atalanta,4,SWE,CB,25,90,0,0,0,0,0,0,0,0,57,1,4,2,0.0,0.0,0.0,0,0,40,48,83.3,0,27,0,0,0,2024-08-19
Marten de Roon,Atalanta,15,NED,CB,33,90,0,0,0,0,0,0,1,0,65,3,1,1,0.0,0.0,0.0,0,0,54,60,90.0,4,42,0,0,0,2024-08-19
Juan Musso,Atalanta,1,ARG,GK,30,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,17,33,51.5,0,12,0,0,0,2024-08-19
Dušan Vlahović,Juventus,9,SRB,FW,24,90,0,0,0,0,5,1,0,0,18,0,0,0,0.7,0.7,0.0,2,0,6,9,66.7,1,8,0,0,0,2024-08-19
Samuel Mbangula,Juventus,51,BEL,LW,20,90,1,1,0,0,1,1,0,0,43,2,0,1,0.1,0.1,0.1,1,1,29,35,82.9,3,32,6,2,1,2024-08-19
Timothy Weah,Juventus,22,USA,RW,24,45,1,0,0,0,1,1,0,0,25,0,0,0,0.1,0.1,0.0,0,0,15,22,68.2,1,22,4,1,0,2024-08-19
Nicolò Savona,Juventus,37,ITA,RB,21,45,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,43,44,97.7,3,38,1,1,1,2024-08-19
Kenan Yıldız,Juventus,10,TUR,AM,19,90,0,1,0,0,2,1,0,0,46,3,0,0,0.0,0.0,0.4,7,2,36,39,92.3,5,37,8,1,0,2024-08-19
Khéphren Thuram,Juventus,19,FRA,DM,23,66,0,0,0,0,0,0,0,0,42,0,2,1,0.0,0.0,0.0,1,0,31,34,91.2,3,29,1,0,0,2024-08-19
Nicolò Fagioli,Juventus,21,ITA,DM,23,24,0,0,0,0,0,0,0,0,23,2,0,1,0.0,0.0,0.0,0,0,18,20,90.0,1,16,0,0,0,2024-08-19
Manuel Locatelli,Juventus,5,ITA,DM,26,78,0,0,0,0,0,0,1,0,51,2,0,2,0.0,0.0,0.0,3,2,42,46,91.3,5,33,0,0,0,2024-08-19
Douglas Luiz,Juventus,26,BRA,DM,26,12,0,0,0,0,1,1,0,0,18,2,0,0,0.0,0.0,0.0,0,0,14,15,93.3,2,13,1,2,2,2024-08-19
Juan David Cabal,Juventus,32,COL,LB,23,90,0,0,0,0,1,0,0,0,60,1,0,0,0.1,0.1,0.0,0,0,45,55,81.8,1,41,3,2,2,2024-08-19
Gleison Bremer,Juventus,3,BRA,CB,27,90,0,0,0,0,0,0,0,0,97,0,1,2,0.0,0.0,0.0,0,0,85,90,94.4,2,85,0,1,0,2024-08-19
Federico Gatti,Juventus,4,ITA,CB,26,90,0,0,0,0,0,0,0,0,77,1,1,2,0.0,0.0,0.0,1,0,69,71,97.2,1,61,0,0,0,2024-08-19
Andrea Cambiaso,Juventus,27,ITA,RW and RB,24,90,1,0,0,0,2,1,1,0,62,2,0,1,0.1,0.1,0.4,2,0,44,49,89.8,1,40,4,1,1,2024-08-19
Michele Di Gregorio,Juventus,29,ITA,GK,27,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,26,28,92.9,0,18,0,0,0,2024-08-19
Andrea Belotti,Como,11,ITA,FW,30,55,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.0,0,0,2,5,40.0,0,7,0,1,0,2024-08-19
Alessandro Gabrielloni,Como,9,ITA,FW,30,35,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,2,1,0,0,2024-08-19
